MSN,Circle,Division,Subdivision,Section,FeederName,Lat,Long,plotLat,plotLong,Forecast_kWh,Forecast_MU,Actual_kWh,color,rank
19409643,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220610-11 KV S.I.E.T,13.032,80.242,13.031725,80.241524,921235.388,0.921235,1999032.0,"rgb(122,181,59)",97
19408920,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR I,222515 11 KV  ARANGHANATHAN,13.034,80.226,13.034546,80.226066,913484.909,0.913485,989910.0,"rgb(120,181,60)",98
19408747,Chennai  Central,TNagar,WEST MAMBALAM II,WEST MAMBALAM II,22250711 KV ELLAIAMMAN FDR,13.034,80.226,13.034,80.22655,893977.26,0.893977,1113819.0,"rgb(116,182,62)",99
05021957,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR CENTRAL,11KV MHU,13.093,80.239,13.093476,80.238725,874873.869,0.874874,1147732.0,"rgb(113,182,63)",100
05074313,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR NORTH,223814-11 KV BHARATHI NAGAR,13.047,80.233,13.047275,80.233476,853905.057,0.853905,1064924.0,"rgb(109,183,65)",101
19408790,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222624-11 KV TTD,13.093,80.239,13.092646,80.238579,817091.093,0.817091,1216896.0,"rgb(102,185,67)",102
19408864,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222606-11 KV ALAIYAMMAN,13.093,80.239,13.092458,80.238904,802765.804,0.802766,1047800.0,"rgb(99,185,69)",103
XC451371,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR II,220618-11KV CMRL FEEDER,13.032,80.242,13.031524,80.242275,794999.841,0.795,1060771.0,"rgb(97,185,69)",104
05022117,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,220506-11 KV  CATHEDERAL GARDEN,13.053,80.243,13.053,80.24245,757229.7,0.75723,554360.0,"rgb(90,187,72)",105
19408749,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,22250611 KV JUBLIE RD FDR,13.034,80.226,13.034453,80.226312,755419.038,0.755419,719808.0,"rgb(90,187,72)",106
19410069,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222405-11 KV J J Road,13.047,80.249,13.04645,80.249,729231.032,0.729231,2200191.0,"rgb(84,188,74)",107
Q0792274,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222605-11 KV RAMASAMY,13.093,80.239,13.092646,80.239421,729231.032,0.729231,19634.0,"rgb(84,188,74)",108
Q0792318,Chennai  Central,TNagar,USMAN ROAD,USMANROAD,223817-11KV PANAGAL METRO,13.047,80.233,13.046725,80.233476,729231.032,0.729231,0.0,"rgb(84,188,74)",109
Q0792322,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222622-11 KVPONDY BAZAAR,13.093,80.239,13.092812,80.239517,729231.032,0.729231,1719900.0,"rgb(84,188,74)",110
Q0792336,Chennai  Central,TNagar,SAIDAPET,SAIDAPET EAST,222728-11KV TNHB FEEDER,13.024,80.23,13.023454,80.230066,729231.032,0.729231,0.0,"rgb(84,188,74)",111
Q0792337,Chennai  Central,TNagar,SAIDAPET,SAIDAPET EAST,222730-11KV ALANDUR,13.024,80.23,13.023547,80.230312,729231.032,0.729231,0.0,"rgb(84,188,74)",112
Q0792338,Chennai  Central,TNagar,SAIDAPET,SAIDAPET EAST,222729-11KV KODAMBAKKAM,13.024,80.23,13.023744,80.230487,729231.032,0.729231,0.0,"rgb(84,188,74)",113
TNG64871,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,11KV KAMDAR NAGAR,13.053,80.243,13.052725,80.243476,729231.032,0.729231,3970.0,"rgb(84,188,74)",114
05022119,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,220512-11 KV GIRI  ROAD,13.053,80.243,13.052524,80.242725,705820.909,0.705821,625260.0,"rgb(80,189,76)",115
19409579,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,11KV KODAMBAKKAM,13.054,80.25,13.053611,80.249611,698146.779,0.698147,826620.0,"rgb(78,189,77)",116
05022120,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220505-11 KV  G.N.CHETTY ROAD,13.053,80.243,13.05245,80.243,657267.264,0.657267,710786.0,"rgb(71,190,80)",117
19409424,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222707-11 KV  NANDANAM,13.024,80.23,13.023635,80.229588,587797.148,0.587797,875712.0,"rgb(57,193,85)",118
05022118,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220510-11KV KAMARAJ MEMORIAL,13.053,80.243,13.052725,80.242524,578678.022,0.578678,463422.0,"rgb(55,193,86)",119
05021899,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222402-11 KV RAILWAY ,13.047,80.249,13.047,80.24955,555535.332,0.555535,355930.0,"rgb(51,194,87)",120
19409850,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,222509 11KV BRINDAVAN FDR,13.034,80.226,13.033868,80.225466,530375.089,0.530375,691980.0,"rgb(46,195,89)",121
19408789,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222625-11KV PS STREET,13.093,80.239,13.092812,80.238483,484885.126,0.484885,437196.0,"rgb(37,196,93)",122
19408786,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222413-11 KV K.M.ROY,13.047,80.249,13.047275,80.248524,482423.487,0.482423,426150.0,"rgb(37,197,93)",123
19408688,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222415-11KV GIRIYAPPA,13.047,80.249,13.047476,80.249275,458105.967,0.458106,2093580.0,"rgb(34,197,94)",124
19409999,Chennai  Central,TNagar,T NAGAR SOUTH,T.NAGAR SOUTH,222505-11 KV ESWARAN KOIL   FDR,13.034,80.226,13.033547,80.226312,455391.869,0.455392,194901.0,"rgb(34,197,94)",125
Q0792342,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222404-11 KV  LOCAL,13.047,80.249,13.046524,80.249275,454271.73,0.454272,1972.0,"rgb(34,197,94)",126
19409425,Chennai  Central,TNagar,SAIDAPET,SAIDAPET EAST,222723-11 KV  TOADHUNTER NAGAR,13.024,80.23,13.023486,80.229805,213271.496,0.213271,439347.0,"rgb(34,197,94)",127
04323364,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,223810-11 KV BETA ,13.047,80.233,13.047,80.23355,75567.224,0.075567,0.0,"rgb(34,197,94)",128
05021951,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR CENTRAL,11KV KODAMBAKKAM,13.093,80.239,13.093354,80.239421,56388.442,0.056388,16648.0,"rgb(34,197,94)",129
05074287,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR I,223008-SAIDAPET1,13.03,80.237,13.03,80.23755,6752.337,0.006752,0.0,"rgb(34,197,94)",130
